n,j,u[n][j],exact,error
18,3,0.746251,0.745980,0.036348
18,4,0.677582,0.677336,0.036348
18,5,0.592228,0.592013,0.036348
18,6,0.492292,0.492113,0.036348
18,7,0.380234,0.380096,0.036348
18,8,0.258813,0.258719,0.036348
18,9,0.131020,0.130972,0.036348
18,10,0.000000,0.000000,1.#INF00
19,0,0.829329,0.829010,0.038367
19,1,0.819118,0.818804,0.038367
19,2,0.788738,0.788436,0.038367
19,3,0.738937,0.738654,0.038367
19,4,0.670941,0.670684,0.038367
19,5,0.586424,0.586199,0.038367
19,6,0.487467,0.487280,0.038367
19,7,0.376507,0.376363,0.038367
19,8,0.256277,0.256178,0.038367
19,9,0.129736,0.129686,0.038367
19,10,0.000000,0.000000,1.#INF00
20,0,0.821200,0.820869,0.040386
20,1,0.811090,0.810762,0.040386
20,2,0.781008,0.780693,0.040386
20,3,0.731695,0.731399,0.040386
20,4,0.664365,0.664097,0.040386
20,5,0.580676,0.580442,0.040386
20,6,0.482689,0.482495,0.040386
20,7,0.372817,0.372667,0.040386
20,8,0.253765,0.253662,0.040386
20,9,0.128464,0.128412,0.040386
20,10,0.000000,0.000000,1.#INF00
21,0,0.813152,0.812807,0.042405
21,1,0.803140,0.802800,0.042405
21,2,0.773353,0.773025,0.042405
21,3,0.724524,0.724216,0.042405
21,4,0.657854,0.657575,0.042405
21,5,0.574985,0.574741,0.042405
21,6,0.477959,0.477756,0.042405
21,7,0.369163,0.369007,0.042405
21,8,0.251278,0.251171,0.042405
21,9,0.127205,0.127151,0.042405
21,10,0.000000,0.000000,1.#INF00
22,0,0.805182,0.804824,0.044424
22,1,0.795269,0.794916,0.044424
22,2,0.765774,0.765433,0.044424
22,3,0.717422,0.717104,0.044424
22,4,0.651406,0.651117,0.044424
22,5,0.569350,0.569097,0.044424
22,6,0.473274,0.473064,0.044424
22,7,0.365545,0.365383,0.044424
22,8,0.248815,0.248704,0.044424
22,9,0.125958,0.125902,0.044424
22,10,0.000000,0.000000,1.#INF00
23,0,0.797290,0.796920,0.046443
23,1,0.787474,0.787109,0.046443
23,2,0.758268,0.757916,0.046443
23,3,0.710391,0.710061,0.046443
23,4,0.645021,0.644722,0.046443
23,5,0.563769,0.563508,0.046443
23,6,0.468636,0.468418,0.046443
23,7,0.361962,0.361794,0.046443
23,8,0.246376,0.246262,0.046443
23,9,0.124724,0.124666,0.046443
23,10,0.000000,0.000000,1.#INF00
