n,j,u[n][j],exact,error
25,0,0.782682,0.781344,0.171017
25,1,0.773046,0.771724,0.171017
25,2,0.744375,0.743102,0.171017
25,3,0.697375,0.696182,0.171017
25,4,0.633203,0.632120,0.171017
25,5,0.553440,0.552493,0.171017
25,6,0.460049,0.459262,0.171017
25,7,0.355330,0.354723,0.171017
25,8,0.241862,0.241448,0.171017
25,9,0.122438,0.122229,0.171017
25,10,0.000000,0.000000,1.#INF00
26,0,0.775049,0.773670,0.177852
26,1,0.765506,0.764145,0.177852
26,2,0.737115,0.735804,0.177852
26,3,0.690573,0.689345,0.177852
26,4,0.627027,0.625912,0.177852
26,5,0.548042,0.547067,0.177852
26,6,0.455562,0.454752,0.177852
26,7,0.351865,0.351239,0.177852
26,8,0.239503,0.239077,0.177852
26,9,0.121244,0.121029,0.177852
26,10,0.000000,0.000000,1.#INF00
27,0,0.767489,0.766072,0.184686
27,1,0.758040,0.756640,0.184686
27,2,0.729926,0.728578,0.184686
27,3,0.683838,0.682575,0.184686
27,4,0.620912,0.619765,0.184686
27,5,0.542697,0.541695,0.184686
27,6,0.451119,0.450286,0.184686
27,7,0.348433,0.347789,0.184686
27,8,0.237167,0.236729,0.184686
27,9,0.120062,0.119840,0.184686
27,10,0.000000,0.000000,1.#INF00
28,0,0.760004,0.758548,0.191519
28,1,0.750647,0.749209,0.191519
28,2,0.722807,0.721422,0.191519
28,3,0.677168,0.675871,0.191519
28,4,0.614856,0.613678,0.191519
28,5,0.537404,0.536375,0.191519
28,6,0.446719,0.445863,0.191519
28,7,0.345034,0.344374,0.191519
28,8,0.234854,0.234404,0.191519
28,9,0.118891,0.118663,0.191519
28,10,0.000000,0.000000,1.#INF00
29,0,0.752591,0.751098,0.198353
29,1,0.743326,0.741851,0.198353
29,2,0.715757,0.714337,0.198353
29,3,0.670564,0.669234,0.198353
29,4,0.608859,0.607651,0.198353
29,5,0.532162,0.531107,0.198353
29,6,0.442362,0.441485,0.198353
29,7,0.341669,0.340992,0.198353
29,8,0.232563,0.232102,0.198353
29,9,0.117731,0.117498,0.198353
29,10,0.000000,0.000000,1.#INF00
30,0,0.745251,0.743722,0.205185
30,1,0.736076,0.734565,0.205185
30,2,0.708776,0.707322,0.205185
30,3,0.664024,0.662661,0.205185
30,4,0.602921,0.601684,0.205185
30,5,0.526972,0.525891,0.205185
30,6,0.438048,0.437149,0.205185
30,7,0.338337,0.337643,0.205185
30,8,0.230295,0.229823,0.205185
30,9,0.116583,0.116344,0.205185
30,10,0.000000,0.000000,1.#INF00
31,0,0.737982,0.736418,0.212017
31,1,0.728897,0.727351,0.212017
31,2,0.701863,0.700375,0.212017
31,3,0.657547,0.656153,0.212017
31,4,0.597040,0.595774,0.212017
31,5,0.521832,0.520726,0.212017
31,6,0.433775,0.432855,0.212017
31,7,0.335037,0.334327,0.212017
31,8,0.228049,0.227566,0.212017
31,9,0.115446,0.115201,0.212017
31,10,0.000000,0.000000,1.#INF00
32,0,0.730785,0.729185,0.218849
32,1,0.721787,0.720208,0.218849
32,2,0.695018,0.693496,0.218849
32,3,0.651134,0.649709,0.218849
32,4,0.591217,0.589923,0.218849
32,5,0.516743,0.515612,0.218849
32,6,0.429544,0.428604,0.218849
32,7,0.331769,0.331043,0.218849
32,8,0.225825,0.225331,0.218849
32,9,0.114320,0.114070,0.218849
32,10,0.000000,0.000000,1.#INF00
33,0,0.723657,0.722024,0.225681
33,1,0.714748,0.713135,0.225681
33,2,0.688239,0.686686,0.225681
33,3,0.644783,0.643328,0.225681
33,4,0.585451,0.584130,0.225681
33,5,0.511703,0.510548,0.225681
33,6,0.425355,0.424395,0.225681
33,7,0.328533,0.327792,0.225681
33,8,0.223622,0.223118,0.225681
33,9,0.113205,0.112949,0.225681
33,10,0.000000,0.000000,1.#INF00
34,0,0.716599,0.714933,0.232511
34,1,0.707777,0.706131,0.232511
34,2,0.681526,0.679942,0.232511
34,3,0.638494,0.637010,0.232511
34,4,0.579741,0.578393,0.232511
34,5,0.506712,0.505534,0.232511
34,6,0.421206,0.420227,0.232511
34,7,0.325329,0.324573,0.232511
34,8,0.221441,0.220926,0.232511
34,9,0.112101,0.111840,0.232511
34,10,0.000000,0.000000,1.#INF00
35,0,0.709610,0.707912,0.239342
35,1,0.700873,0.699196,0.239342
35,2,0.674879,0.673264,0.239342
35,3,0.632267,0.630754,0.239342
35,4,0.574086,0.572712,0.239342
35,5,0.501770,0.500569,0.239342
35,6,0.417098,0.416100,0.239342
35,7,0.322156,0.321385,0.239342
35,8,0.219282,0.218757,0.239342
35,9,0.111007,0.110742,0.239342
35,10,0.000000,0.000000,1.#INF00
36,0,0.702689,0.700959,0.246172
36,1,0.694038,0.692329,0.246172
36,2,0.668297,0.666652,0.246172
36,3,0.626100,0.624559,0.246172
36,4,0.568487,0.567088,0.246172
36,5,0.496876,0.495653,0.246172
36,6,0.413030,0.412013,0.246172
36,7,0.319014,0.318229,0.246172
36,8,0.217143,0.216608,0.246172
36,9,0.109925,0.109654,0.246172
36,10,0.000000,0.000000,1.#INF00
37,0,0.695835,0.694075,0.253001
37,1,0.687269,0.685530,0.253001
37,2,0.661779,0.660104,0.253001
37,3,0.619994,0.618425,0.253001
37,4,0.562943,0.561518,0.253001
37,5,0.492030,0.490785,0.253001
37,6,0.409002,0.407967,0.253001
37,7,0.315903,0.315103,0.253001
37,8,0.215025,0.214481,0.253001
37,9,0.108853,0.108577,0.253001
37,10,0.000000,0.000000,1.#INF00
38,0,0.689049,0.687258,0.259830
38,1,0.680565,0.678797,0.259830
38,2,0.655324,0.653622,0.259830
38,3,0.613947,0.612352,0.259830
38,4,0.557452,0.556004,0.259830
38,5,0.487231,0.485965,0.259830
38,6,0.405013,0.403960,0.259830
38,7,0.312822,0.312009,0.259830
38,8,0.212928,0.212375,0.259830
38,9,0.107791,0.107511,0.259830
38,10,0.000000,0.000000,1.#INF00
39,0,0.682328,0.680509,0.266659
39,1,0.673928,0.672131,0.266659
39,2,0.648933,0.647202,0.266659
39,3,0.607959,0.606338,0.266659
39,4,0.552015,0.550543,0.266659
39,5,0.482479,0.481192,0.266659
39,6,0.401062,0.399993,0.266659
39,7,0.309771,0.308945,0.266659
39,8,0.210851,0.210289,0.266659
39,9,0.106740,0.106455,0.266659
39,10,0.000000,0.000000,1.#INF00
40,0,0.675673,0.673825,0.273487
40,1,0.667355,0.665530,0.273487
40,2,0.642604,0.640846,0.273487
40,3,0.602029,0.600383,0.273487
40,4,0.546631,0.545136,0.273487
40,5,0.477773,0.476467,0.273487
40,6,0.397151,0.396065,0.273487
40,7,0.306749,0.305910,0.273487
40,8,0.208795,0.208224,0.273487
40,9,0.105699,0.105410,0.273487
40,10,0.000000,0.000000,1.#INF00
41,0,0.669083,0.667208,0.280314
41,1,0.660846,0.658993,0.280314
41,2,0.636336,0.634552,0.280314
41,3,0.596158,0.594486,0.280314
41,4,0.541300,0.539782,0.280314
41,5,0.473113,0.471787,0.280314
41,6,0.393277,0.392175,0.280314
41,7,0.303757,0.302906,0.280314
41,8,0.206758,0.206179,0.280314
41,9,0.104668,0.104374,0.280314
41,10,0.000000,0.000000,1.#INF00
42,0,0.662558,0.660655,0.287141
42,1,0.654400,0.652521,0.287141
42,2,0.630130,0.628320,0.287141
42,3,0.590343,0.588648,0.287141
42,4,0.536020,0.534481,0.287141
42,5,0.468499,0.467154,0.287141
42,6,0.389442,0.388323,0.287141
42,7,0.300795,0.299931,0.287141
42,8,0.204742,0.204154,0.287141
42,9,0.103647,0.103349,0.287141
42,10,0.000000,0.000000,1.#INF00
43,0,0.656095,0.654167,0.293968
43,1,0.648018,0.646113,0.293968
43,2,0.623984,0.622150,0.293968
43,3,0.584585,0.582867,0.293968
43,4,0.530792,0.529232,0.293968
43,5,0.463930,0.462566,0.293968
43,6,0.385643,0.384510,0.293968
43,7,0.297861,0.296985,0.293968
43,8,0.202745,0.202149,0.293968
43,9,0.102636,0.102334,0.293968
43,10,0.000000,0.000000,1.#INF00
44,0,0.649696,0.647742,0.300794
44,1,0.641698,0.639767,0.300794
44,2,0.617898,0.616039,0.300794
44,3,0.578884,0.577142,0.300794
44,4,0.525615,0.524034,0.300794
44,5,0.459405,0.458023,0.300794
44,6,0.381882,0.380733,0.300794
44,7,0.294956,0.294069,0.300794
44,8,0.200767,0.200163,0.300794
44,9,0.101635,0.101329,0.300794
44,10,0.000000,0.000000,1.#INF00
45,0,0.643360,0.641381,0.307620
45,1,0.635439,0.633484,0.307620
45,2,0.611871,0.609989,0.307620
45,3,0.573238,0.571474,0.307620
45,4,0.520489,0.518888,0.307620
45,5,0.454924,0.453525,0.307620
45,6,0.378157,0.376994,0.307620
45,7,0.292079,0.291181,0.307620
45,8,0.198809,0.198198,0.307620
45,9,0.100644,0.100334,0.307620
45,10,0.000000,0.000000,1.#INF00
46,0,0.637085,0.635082,0.314445
46,1,0.629241,0.627263,0.314445
46,2,0.605904,0.603998,0.314445
46,3,0.567647,0.565862,0.314445
46,4,0.515412,0.513792,0.314445
46,5,0.450487,0.449070,0.314445
46,6,0.374469,0.373292,0.314445
46,7,0.289230,0.288321,0.314445
46,8,0.196870,0.196251,0.314445
46,9,0.099662,0.099349,0.314445
46,10,0.000000,0.000000,1.#INF00
47,0,0.630871,0.628844,0.321270
47,1,0.623104,0.621102,0.321270
47,2,0.599994,0.598067,0.321270
47,3,0.562110,0.560304,0.321270
47,4,0.510386,0.508746,0.321270
47,5,0.446093,0.444660,0.321270
47,6,0.370817,0.369625,0.321270
47,7,0.286410,0.285489,0.321270
47,8,0.194950,0.194324,0.321270
47,9,0.098690,0.098373,0.321270
47,10,0.000000,0.000000,1.#INF00
48,0,0.624718,0.622668,0.328094
48,1,0.617027,0.615002,0.328094
48,2,0.594142,0.592193,0.328094
48,3,0.556628,0.554802,0.328094
48,4,0.505408,0.503749,0.328094
48,5,0.441742,0.440293,0.328094
48,6,0.367200,0.365995,0.328094
48,7,0.283616,0.282686,0.328094
48,8,0.193049,0.192415,0.328094
48,9,0.097727,0.097407,0.328094
48,10,0.000000,0.000000,1.#INF00
49,0,0.618625,0.616553,0.334918
49,1,0.611009,0.608962,0.334918
49,2,0.588347,0.586377,0.334918
49,3,0.551199,0.549353,0.334918
49,4,0.500478,0.498802,0.334918
49,5,0.437434,0.435969,0.334918
49,6,0.363619,0.362401,0.334918
49,7,0.280850,0.279909,0.334918
49,8,0.191166,0.190525,0.334918
49,9,0.096774,0.096450,0.334918
49,10,0.000000,0.000000,1.#INF00
50,0,0.612592,0.610498,0.341741
50,1,0.605049,0.602982,0.341741
50,2,0.582609,0.580618,0.341741
50,3,0.545823,0.543958,0.341741
50,4,0.495597,0.493903,0.341741
50,5,0.433168,0.431687,0.341741
50,6,0.360072,0.358842,0.341741
50,7,0.278111,0.277160,0.341741
50,8,0.189301,0.188654,0.341741
50,9,0.095830,0.095503,0.341741
50,10,0.000000,0.000000,1.#INF00
51,0,0.606617,0.604502,0.348564
51,1,0.599148,0.597060,0.348564
51,2,0.576927,0.574916,0.348564
51,3,0.540499,0.538615,0.348564
51,4,0.490763,0.489053,0.348564
51,5,0.428943,0.427448,0.348564
51,6,0.356560,0.355318,0.348564
51,7,0.275398,0.274438,0.348564
51,8,0.187455,0.186801,0.348564
51,9,0.094896,0.094565,0.348564
51,10,0.000000,0.000000,1.#INF00
52,0,0.600700,0.598565,0.355387
52,1,0.593305,0.591196,0.355387
52,2,0.571300,0.569270,0.355387
52,3,0.535228,0.533326,0.355387
52,4,0.485977,0.484250,0.355387
52,5,0.424759,0.423250,0.355387
52,6,0.353083,0.351828,0.355387
52,7,0.272712,0.271743,0.355387
52,8,0.185627,0.184967,0.355387
52,9,0.093970,0.093636,0.355387
52,10,0.000000,0.000000,1.#INF00
53,0,0.594841,0.592687,0.362209
53,1,0.587518,0.585390,0.362209
53,2,0.565728,0.563679,0.362209
53,3,0.530008,0.528088,0.362209
53,4,0.481237,0.479494,0.362209
53,5,0.420616,0.419093,0.362209
53,6,0.349639,0.348373,0.362209
53,7,0.270052,0.269074,0.362209
53,8,0.183816,0.183150,0.362209
53,9,0.093054,0.092717,0.362209
53,10,0.000000,0.000000,1.#INF00
54,0,0.589040,0.586866,0.369030
54,1,0.581788,0.579641,0.369030
54,2,0.560210,0.558143,0.369030
54,3,0.524838,0.522902,0.369030
54,4,0.476543,0.474785,0.369030
54,5,0.416514,0.414977,0.369030
54,6,0.346229,0.344951,0.369030
54,7,0.267418,0.266432,0.369030
54,8,0.182023,0.181352,0.369030
54,9,0.092146,0.091806,0.369030
54,10,0.000000,0.000000,1.#INF00
55,0,0.583295,0.581102,0.375851
55,1,0.576113,0.573948,0.375851
55,2,0.554746,0.552661,0.375851
55,3,0.519719,0.517766,0.375851
55,4,0.471895,0.470122,0.375851
55,5,0.412452,0.410901,0.375851
55,6,0.342852,0.341563,0.375851
55,7,0.264810,0.263815,0.375851
55,8,0.180248,0.179571,0.375851
55,9,0.091247,0.090904,0.375851
55,10,0.000000,0.000000,1.#INF00
56,0,0.577606,0.575395,0.382672
56,1,0.570494,0.568311,0.382672
56,2,0.549336,0.547234,0.382672
56,3,0.514650,0.512681,0.382672
56,4,0.467293,0.465505,0.382672
56,5,0.408429,0.406866,0.382672
56,6,0.339508,0.338209,0.382672
56,7,0.262228,0.261224,0.382672
56,8,0.178490,0.177807,0.382672
56,9,0.090357,0.090012,0.382672
56,10,0.000000,0.000000,1.#INF00
57,0,0.571972,0.569744,0.389492
57,1,0.564930,0.562730,0.389492
57,2,0.543978,0.541859,0.389492
57,3,0.509631,0.507646,0.389492
57,4,0.462735,0.460933,0.389492
57,5,0.404445,0.402870,0.389492
57,6,0.336197,0.334887,0.389492
57,7,0.259670,0.258659,0.389492
57,8,0.176749,0.176061,0.389492
57,9,0.089476,0.089128,0.389492
57,10,0.000000,0.000000,1.#INF00
58,0,0.566394,0.564149,0.396312
58,1,0.559420,0.557203,0.396312
58,2,0.538672,0.536537,0.396312
58,3,0.504660,0.502660,0.396312
58,4,0.458222,0.456406,0.396312
58,5,0.400501,0.398914,0.396312
58,6,0.332918,0.331598,0.396312
58,7,0.257137,0.256118,0.396312
58,8,0.175025,0.174332,0.396312
58,9,0.088603,0.088252,0.396312
58,10,0.000000,0.000000,1.#INF00
59,0,0.560869,0.558608,0.403131
59,1,0.553964,0.551731,0.403131
59,2,0.533418,0.531268,0.403131
59,3,0.499738,0.497724,0.403131
59,4,0.453753,0.451924,0.403131
59,5,0.396595,0.394996,0.403131
59,6,0.329671,0.328342,0.403131
59,7,0.254629,0.253603,0.403131
59,8,0.173318,0.172619,0.403131
59,9,0.087739,0.087386,0.403131
59,10,0.000000,0.000000,1.#INF00
60,0,0.555399,0.553122,0.409949
60,1,0.548561,0.546312,0.409949
60,2,0.528216,0.526051,0.409949
60,3,0.494864,0.492836,0.409949
60,4,0.449327,0.447485,0.409949
60,5,0.392726,0.391116,0.409949
60,6,0.326455,0.325117,0.409949
60,7,0.252146,0.251112,0.409949
60,8,0.171628,0.170924,0.409949
60,9,0.086884,0.086527,0.409949
