n,j,u[n][j],exact,error
22,0,0.804319,0.804824,0.062827
22,1,0.794416,0.794916,0.062827
22,2,0.764953,0.765433,0.062827
22,3,0.716653,0.717104,0.062827
22,4,0.650708,0.651117,0.062827
22,5,0.568739,0.569097,0.062827
22,6,0.472767,0.473064,0.062827
22,7,0.365153,0.365383,0.062827
22,8,0.248548,0.248704,0.062827
22,9,0.125823,0.125902,0.062827
23,0,0.796397,0.796920,0.065683
23,1,0.786592,0.787109,0.065683
23,2,0.757419,0.757916,0.065683
23,3,0.709595,0.710061,0.065683
23,4,0.644299,0.644722,0.065683
23,5,0.563138,0.563508,0.065683
23,6,0.468110,0.468418,0.065683
23,7,0.361557,0.361794,0.065683
23,8,0.246100,0.246262,0.065683
23,9,0.124584,0.124666,0.065683
24,0,0.788553,0.789093,0.068540
24,1,0.778845,0.779378,0.068540
24,2,0.749958,0.750472,0.068540
24,3,0.702606,0.703087,0.068540
24,4,0.637953,0.638390,0.068540
24,5,0.557591,0.557973,0.068540
24,6,0.463500,0.463818,0.068540
24,7,0.357996,0.358241,0.068540
24,8,0.243676,0.243843,0.068540
24,9,0.123357,0.123441,0.068540
25,0,0.780786,0.781344,0.071397
25,1,0.771173,0.771724,0.071397
25,2,0.742572,0.743102,0.071397
25,3,0.695686,0.696182,0.071397
25,4,0.631669,0.632120,0.071397
25,5,0.552099,0.552493,0.071397
25,6,0.458935,0.459262,0.071397
25,7,0.354470,0.354723,0.071397
25,8,0.241276,0.241448,0.071397
25,9,0.122142,0.122229,0.071397
26,0,0.773096,0.773670,0.074254
26,1,0.763578,0.764145,0.074254
26,2,0.735258,0.735804,0.074254
26,3,0.688834,0.689345,0.074254
26,4,0.625448,0.625912,0.074254
26,5,0.546661,0.547067,0.074254
26,6,0.454414,0.454752,0.074254
26,7,0.350978,0.351239,0.074254
26,8,0.238900,0.239077,0.074254
26,9,0.120939,0.121029,0.074254
27,0,0.765482,0.766072,0.077111
27,1,0.756057,0.756640,0.077111
27,2,0.728016,0.728578,0.077111
27,3,0.682049,0.682575,0.077111
27,4,0.619288,0.619765,0.077111
27,5,0.541277,0.541695,0.077111
27,6,0.449939,0.450286,0.077111
27,7,0.347521,0.347789,0.077111
27,8,0.236547,0.236729,0.077111
27,9,0.119748,0.119840,0.077111
28,0,0.757942,0.758548,0.079968
28,1,0.748611,0.749209,0.079968
28,2,0.720846,0.721422,0.079968
28,3,0.675331,0.675871,0.079968
28,4,0.613188,0.613678,0.079968
28,5,0.535946,0.536375,0.079968
28,6,0.445507,0.445863,0.079968
28,7,0.344099,0.344374,0.079968
28,8,0.234217,0.234404,0.079968
28,9,0.118568,0.118663,0.079968
29,0,0.750477,0.751098,0.082825
29,1,0.741237,0.741851,0.082825
29,2,0.713746,0.714337,0.082825
29,3,0.668680,0.669234,0.082825
29,4,0.607149,0.607651,0.082825
29,5,0.530667,0.531107,0.082825
29,6,0.441119,0.441485,0.082825
29,7,0.340709,0.340992,0.082825
29,8,0.231910,0.232102,0.082825
29,9,0.117400,0.117498,0.082825
30,0,0.743085,0.743722,0.085683
30,1,0.733937,0.734565,0.085683
30,2,0.706716,0.707322,0.085683
30,3,0.662094,0.662661,0.085683
30,4,0.601169,0.601684,0.085683
30,5,0.525441,0.525891,0.085683
30,6,0.436775,0.437149,0.085683
30,7,0.337354,0.337643,0.085683
30,8,0.229626,0.229823,0.085683
30,9,0.116244,0.116344,0.085683
31,0,0.735766,0.736418,0.088540
31,1,0.726708,0.727351,0.088540
31,2,0.699755,0.700375,0.088540
31,3,0.655573,0.656153,0.088540
31,4,0.595247,0.595774,0.088540
31,5,0.520265,0.520726,0.088540
31,6,0.432473,0.432855,0.088540
31,7,0.334031,0.334327,0.088540
31,8,0.227364,0.227566,0.088540
31,9,0.115099,0.115201,0.088540
32,0,0.728519,0.729185,0.091397
32,1,0.719550,0.720208,0.091397
32,2,0.692863,0.693496,0.091397
32,3,0.649116,0.649709,0.091397
32,4,0.589385,0.589923,0.091397
32,5,0.515141,0.515612,0.091397
32,6,0.428213,0.428604,0.091397
32,7,0.330741,0.331043,0.091397
32,8,0.225125,0.225331,0.091397
32,9,0.113966,0.114070,0.091397
33,0,0.721344,0.722024,0.094255
33,1,0.712463,0.713135,0.094255
33,2,0.686039,0.686686,0.094255
33,3,0.642722,0.643328,0.094255
33,4,0.583580,0.584130,0.094255
33,5,0.510067,0.510548,0.094255
33,6,0.423995,0.424395,0.094255
33,7,0.327483,0.327792,0.094255
33,8,0.222908,0.223118,0.094255
33,9,0.112843,0.112949,0.094255
34,0,0.714239,0.714933,0.097112
34,1,0.705446,0.706131,0.097112
34,2,0.679282,0.679942,0.097112
34,3,0.636392,0.637010,0.097112
34,4,0.577832,0.578393,0.097112
34,5,0.505043,0.505534,0.097112
34,6,0.419819,0.420227,0.097112
34,7,0.324258,0.324573,0.097112
34,8,0.220712,0.220926,0.097112
34,9,0.111732,0.111840,0.097112
35,0,0.707205,0.707912,0.099970
35,1,0.698498,0.699196,0.099970
35,2,0.672591,0.673264,0.099970
35,3,0.630124,0.630754,0.099970
35,4,0.572140,0.572712,0.099970
35,5,0.500069,0.500569,0.099970
35,6,0.415684,0.416100,0.099970
