n,j,u[n][j],exact,error
64,8,0.045608,0.046981,3.011060
64,9,0.023977,0.024699,3.011060
65,0,0.000000,0.000000,0.000000
65,1,0.023039,0.023743,3.058820
65,2,0.043822,0.045162,3.058820
65,3,0.060316,0.062161,3.058820
65,4,0.070905,0.073074,3.058820
65,5,0.074554,0.076835,3.058820
65,6,0.070905,0.073074,3.058820
65,7,0.060316,0.062161,3.058820
65,8,0.043822,0.045162,3.058820
65,9,0.023039,0.023743,3.058820
66,0,0.000000,0.000000,0.000000
66,1,0.022136,0.022824,3.106603
66,2,0.042106,0.043414,3.106603
66,3,0.057954,0.059754,3.106603
66,4,0.068129,0.070246,3.106603
66,5,0.071635,0.073861,3.106603
66,6,0.068129,0.070246,3.106603
66,7,0.057954,0.059754,3.106603
66,8,0.042106,0.043414,3.106603
66,9,0.022136,0.022824,3.106603
67,0,0.000000,0.000000,0.000000
67,1,0.021270,0.021941,3.154407
67,2,0.040457,0.041734,3.154407
67,3,0.055685,0.057441,3.154407
67,4,0.065462,0.067526,3.154407
67,5,0.068830,0.071002,3.154407
67,6,0.065462,0.067526,3.154407
67,7,0.055685,0.057441,3.154407
67,8,0.040457,0.041734,3.154407
67,9,0.021270,0.021941,3.154407
68,0,0.000000,0.000000,0.000000
68,1,0.020437,0.021091,3.202234
68,2,0.038873,0.040118,3.202234
68,3,0.053505,0.055218,3.202234
68,4,0.062898,0.064913,3.202234
68,5,0.066135,0.068253,3.202234
68,6,0.062898,0.064913,3.202234
68,7,0.053505,0.055218,3.202234
68,8,0.038873,0.040118,3.202234
68,9,0.020437,0.021091,3.202234
69,0,0.000000,0.000000,0.000000
69,1,0.019637,0.020275,3.250083
69,2,0.037351,0.038565,3.250083
69,3,0.051410,0.053080,3.250083
69,4,0.060436,0.062400,3.250083
69,5,0.063546,0.065611,3.250083
69,6,0.060436,0.062400,3.250083
69,7,0.051410,0.053080,3.250083
69,8,0.037351,0.038565,3.250083
69,9,0.019637,0.020275,3.250083
70,0,0.000000,0.000000,0.000000
70,1,0.018868,0.019490,3.297954
70,2,0.035889,0.037072,3.297954
70,3,0.049397,0.051026,3.297954
70,4,0.058069,0.059984,3.297954
70,5,0.061058,0.063071,3.297954
70,6,0.058069,0.059984,3.297954
70,7,0.049397,0.051026,3.297954
70,8,0.035889,0.037072,3.297954
70,9,0.018868,0.019490,3.297954
71,0,0.000000,0.000000,0.000000
71,1,0.018129,0.018736,3.345847
71,2,0.034484,0.035637,3.345847
71,3,0.047463,0.049051,3.345847
71,4,0.055796,0.057662,3.345847
71,5,0.058667,0.060630,3.345847
71,6,0.055796,0.057662,3.345847
71,7,0.047463,0.049051,3.345847
71,8,0.034484,0.035637,3.345847
71,9,0.018129,0.018736,3.345847
72,0,0.000000,0.000000,0.000000
72,1,0.017419,0.018010,3.393762
72,2,0.033133,0.034258,3.393762
72,3,0.045604,0.047152,3.393762
72,4,0.053611,0.055430,3.393762
72,5,0.056370,0.058283,3.393762
72,6,0.053611,0.055430,3.393762
72,7,0.045604,0.047152,3.393762
72,8,0.033133,0.034258,3.393762
72,9,0.017419,0.018010,3.393762
73,0,0.000000,0.000000,0.000000
73,1,0.016737,0.017313,3.441700
73,2,0.031836,0.032932,3.441700
73,3,0.043819,0.045327,3.441700
