n,j,u[n][j],exact,error
33,9,0.087003,0.083983,3.471744
33,10,0.000000,0.000000,0.000000
34,0,0.000000,0.000000,0.000000
34,1,0.083725,0.080732,3.575045
34,2,0.159254,0.153561,3.575045
34,3,0.219194,0.211358,3.575045
34,4,0.257678,0.248466,3.575045
34,5,0.270939,0.261253,3.575045
34,6,0.257678,0.248466,3.575045
34,7,0.219194,0.211358,3.575045
34,8,0.159254,0.153561,3.575045
34,9,0.083725,0.080732,3.575045
34,10,0.000000,0.000000,0.000000
35,0,0.000000,0.000000,0.000000
35,1,0.080570,0.077607,3.678236
35,2,0.153253,0.147616,3.678236
35,3,0.210935,0.203177,3.678236
35,4,0.247969,0.238848,3.678236
35,5,0.260730,0.251140,3.678236
35,6,0.247969,0.238848,3.678236
35,7,0.210935,0.203177,3.678236
35,8,0.153253,0.147616,3.678236
35,9,0.080570,0.077607,3.678236
35,10,0.000000,0.000000,0.000000
36,0,0.000000,0.000000,0.000000
36,1,0.077534,0.074602,3.781316
36,2,0.147479,0.141902,3.781316
36,3,0.202987,0.195312,3.781316
36,4,0.238626,0.229603,3.781316
36,5,0.250906,0.241419,3.781316
36,6,0.238626,0.229603,3.781316
36,7,0.202987,0.195312,3.781316
36,8,0.147479,0.141902,3.781316
36,9,0.077534,0.074602,3.781316
36,10,0.000000,0.000000,0.000000
37,0,0.000000,0.000000,0.000000
37,1,0.074613,0.071715,3.884286
37,2,0.141922,0.136409,3.884286
37,3,0.195339,0.187751,3.884286
37,4,0.229635,0.220715,3.884286
37,5,0.241452,0.232073,3.884286
37,6,0.229635,0.220715,3.884286
37,7,0.195339,0.187751,3.884286
37,8,0.141922,0.136409,3.884286
37,9,0.074613,0.071715,3.884286
37,10,0.000000,0.000000,0.000000
38,0,0.000000,0.000000,0.000000
38,1,0.071801,0.068939,3.987146
38,2,0.136574,0.131129,3.987146
38,3,0.187979,0.180484,3.987146
38,4,0.220982,0.212171,3.987146
38,5,0.232354,0.223090,3.987146
38,6,0.220982,0.212171,3.987146
38,7,0.187979,0.180484,3.987146
38,8,0.136574,0.131129,3.987146
38,9,0.071801,0.068939,3.987146
38,10,0.000000,0.000000,0.000000
39,0,0.000000,0.000000,0.000000
39,1,0.069096,0.066270,4.089896
39,2,0.131428,0.126053,4.089896
39,3,0.180896,0.173497,4.089896
39,4,0.212656,0.203958,4.089896
39,5,0.223599,0.214454,4.089896
39,6,0.212656,0.203958,4.089896
39,7,0.180896,0.173497,4.089896
39,8,0.131428,0.126053,4.089896
39,9,0.069096,0.066270,4.089896
39,10,0.000000,0.000000,0.000000
40,0,0.000000,0.000000,0.000000
40,1,0.066492,0.063705,4.192536
40,2,0.126476,0.121174,4.192536
40,3,0.174080,0.166781,4.192536
40,4,0.204643,0.196063,4.192536
40,5,0.215174,0.206153,4.192536
40,6,0.204643,0.196063,4.192536
40,7,0.174080,0.166781,4.192536
40,8,0.126476,0.121174,4.192536
40,9,0.066492,0.063705,4.192536
40,10,0.000000,0.000000,0.000000
41,0,0.000000,0.000000,0.000000
41,1,0.063987,0.061239,4.295066
41,2,0.121711,0.116483,4.295066
41,3,0.167520,0.160325,4.295066
41,4,0.196932,0.188474,4.295066
41,5,0.207067,0.198173,4.295066
41,6,0.196932,0.188474,4.295066
41,7,0.167520,0.160325,4.295066
41,8,0.121711,0.116483,4.295066
41,9,0.063987,0.061239,4.295066
41,10,0.000000,0.000000,0.000000
42,0,0.000000,0.000000,0.000000
42,1,0.061576,0.058868,4.397486
42,2,0.117125,0.111974,4.397486
42,3,0.161208,0.154119,4.397486
42,4,0.189512,0.181178,4.397486
42,5,0.199264,0.190502,4.397486
42,6,0.189512,0.181178,4.397486
42,7,0.161208,0.154119,4.397486
42,8,0.117125,0.111974,4.397486
42,9,0.061576,0.058868,4.397486
42,10,0.000000,0.000000,0.000000
43,0,0.000000,0.000000,0.000000
43,1,0.059256,0.056590,4.499797
43,2,0.112712,0.107640,4.499797
43,3,0.155134,0.148153,4.499797
43,4,0.182371,0.174165,4.499797
43,5,0.191756,0.183128,4.499797
43,6,0.182371,0.174165,4.499797
43,7,0.155134,0.148153,4.499797
43,8,0.112712,0.107640,4.499797
43,9,0.059256,0.056590,4.499797
43,10,0.000000,0.000000,0.000000
44,0,0.000000,0.000000,0.000000
44,1,0.057023,0.054399,4.601998
44,2,0.108465,0.103473,4.601998
44,3,0.149289,0.142418,4.601998
44,4,0.175499,0.167423,4.601998
44,5,0.184531,0.176039,4.601998
44,6,0.175499,0.167423,4.601998
44,7,0.149289,0.142418,4.601998
44,8,0.108465,0.103473,4.601998
44,9,0.057023,0.054399,4.601998
44,10,0.000000,0.000000,0.000000
45,0,0.000000,0.000000,0.000000
45,1,0.054875,0.052293,4.704089
